"tab_code","表章項目","cat01_code","品目分類（2020年改定）","cat02_code","世帯区分","area_code","地域区分","time_code","時間軸（月次）","unit","value"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000101","2015年1月","1g","258"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000202","2015年2月","1g","257"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000303","2015年3月","1g","277"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000404","2015年4月","1g","263"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000505","2015年5月","1g","227"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000606","2015年6月","1g","222"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000707","2015年7月","1g","245"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000808","2015年8月","1g","271"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000909","2015年9月","1g","296"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015001010","2015年10月","1g","303"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015001111","2015年11月","1g","303"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2015001212","2015年12月","1g","399"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000101","2016年1月","1g","335"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000202","2016年2月","1g","317"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000303","2016年3月","1g","364"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000404","2016年4月","1g","323"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000505","2016年5月","1g","274"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000606","2016年6月","1g","261"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000707","2016年7月","1g","252"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000808","2016年8月","1g","260"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000909","2016年9月","1g","281"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016001010","2016年10月","1g","301"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016001111","2016年11月","1g","303"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2016001212","2016年12月","1g","355"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000101","2017年1月","1g","300"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000202","2017年2月","1g","289"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000303","2017年3月","1g","315"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000404","2017年4月","1g","281"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000505","2017年5月","1g","264"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000606","2017年6月","1g","257"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000707","2017年7月","1g","250"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000808","2017年8月","1g","282"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000909","2017年9月","1g","298"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017001010","2017年10月","1g","328"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017001111","2017年11月","1g","314"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2017001212","2017年12月","1g","396"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000101","2018年1月","1g","326"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000202","2018年2月","1g","325"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000303","2018年3月","1g","333"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000404","2018年4月","1g","286"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000505","2018年5月","1g","285"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000606","2018年6月","1g","279"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000707","2018年7月","1g","294"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000808","2018年8月","1g","296"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000909","2018年9月","1g","353"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018001010","2018年10月","1g","321"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018001111","2018年11月","1g","310"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2018001212","2018年12月","1g","414"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000101","2019年1月","1g","327"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000202","2019年2月","1g","348"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000303","2019年3月","1g","378"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000404","2019年4月","1g","347"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000505","2019年5月","1g","317"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000606","2019年6月","1g","298"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000707","2019年7月","1g","311"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000808","2019年8月","1g","302"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000909","2019年9月","1g","335"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2019001010","2019年10月","1g","384"
